id,web_name,team,element_type,now_cost,selected_by_percent,event_points,total_points,position,team_name
374,Bruno Guimarães,15,3,60,10.1,3,6,Midfielder,Newcastle
375,Hendrick,15,3,45,0.0,0,0,Midfielder,Newcastle
376,Pope,15,1,50,4.6,7,13,Goalkeeper,Newcastle
377,Botman,15,2,45,2.1,6,7,Defender,Newcastle
552,Anderson,15,3,45,0.2,0,0,Midfielder,Newcastle
295,N.Williams,16,2,40,27.1,0,0,Defender,Nott'm Forest
378,Arter,16,3,45,0.3,0,0,Midfielder,Nott'm Forest
379,Cook,16,2,45,0.2,0,0,Defender,Nott'm Forest
380,Taylor,16,4,45,10.8,0,0,Forward,Nott'm Forest
381,Colback,16,3,45,1.8,0,2,Midfielder,Nott'm Forest
382,Samba,16,1,45,0.0,0,0,Goalkeeper,Nott'm Forest
383,Cafú,16,3,45,0.5,0,0,Midfielder,Nott'm Forest
384,Lolley,16,3,50,0.1,0,0,Midfielder,Nott'm Forest
385,McKenna,16,2,45,0.1,0,1,Defender,Nott'm Forest
386,Dräger,16,2,40,0.2,0,0,Defender,Nott'm Forest
387,Yates,16,3,50,0.0,0,0,Midfielder,Nott'm Forest
388,Worrall,16,2,45,0.1,0,0,Defender,Nott'm Forest
389,Panzo,16,2,40,0.0,0,0,Defender,Nott'm Forest
390,Xande Silva,16,3,50,0.0,0,0,Midfielder,Nott'm Forest
391,Surridge,16,4,50,1.7,0,2,Forward,Nott'm Forest
392,Laryea,16,2,45,0.0,0,0,Defender,Nott'm Forest
393,Mbe Soh,16,2,45,0.0,0,0,Defender,Nott'm Forest
394,Johnson,16,4,60,1.8,0,2,Forward,Nott'm Forest
395,Mighten,16,3,50,0.0,0,1,Midfielder,Nott'm Forest
396,Ojeda,16,3,45,0.1,0,0,Midfielder,Nott'm Forest
397,Awoniyi,16,4,59,0.9,0,1,Forward,Nott'm Forest
398,Henderson,16,1,45,5.3,0,3,Goalkeeper,Nott'm Forest
399,Biancone,16,2,45,0.1,0,0,Defender,Nott'm Forest
507,Niakhaté,16,2,45,0.2,0,1,Defender,Nott'm Forest
511,Richards,16,2,45,0.0,0,0,Defender,Nott'm Forest
518,Hennessey,16,1,40,2.4,0,0,Goalkeeper,Nott'm Forest
523,Toffolo,16,2,45,0.1,0,1,Defender,Nott'm Forest
524,O'Brien,16,3,50,0.1,0,1,Midfielder,Nott'm Forest
527,Lingard,16,3,60,5.0,0,2,Midfielder,Nott'm Forest
536,Mangala,16,3,50,0.0,0,1,Midfielder,Nott'm Forest
553,Hammond,16,3,45,0.0,0,0,Midfielder,Nott'm Forest
321,Lavia,17,3,45,0.4,2,4,Midfielder,Southampton
400,Walcott,17,3,50,0.0,0,0,Midfielder,Southampton
401,McCarthy,17,1,45,0.3,0,0,Goalkeeper,Southampton
402,Romeu,17,3,50,0.1,0,2,Midfielder,Southampton
403,Redmond,17,3,55,0.1,0,1,Midfielder,Southampton
404,Stephens,17,2,45,0.1,1,1,Defender,Southampton
405,S.Armstrong,17,3,50,0.1,2,3,Midfielder,Southampton
406,Elyounoussi,17,3,55,0.1,2,2,Midfielder,Southampton
407,Ward-Prowse,17,3,65,11.1,2,11,Midfielder,Southampton
408,A.Armstrong,17,4,55,0.7,4,5,Forward,Southampton
409,Walker-Peters,17,2,45,1.2,7,7,Defender,Southampton
410,Bednarek,17,2,45,0.5,1,1,Defender,Southampton
411,Adams,17,4,64,0.6,2,2,Forward,Southampton
412,Tella,17,3,50,0.0,0,0,Midfielder,Southampton
413,Lyanco,17,2,45,0.0,0,0,Defender,Southampton
414,Valery,17,2,40,0.9,0,0,Defender,Southampton
415,Smallbone,17,3,45,0.0,0,0,Midfielder,Southampton
416,Diallo,17,3,45,0.7,0,1,Midfielder,Southampton
417,Perraud,17,2,45,0.1,0,1,Defender,Southampton
418,Djenepo,17,3,50,0.2,2,7,Midfielder,Southampton
419,Livramento,17,2,45,0.0,0,0,Defender,Southampton
420,Salisu,17,2,45,0.2,0,-2,Defender,Southampton
421,Lis,17,1,40,0.3,0,0,Goalkeeper,Southampton
422,Bazunu,17,1,45,0.7,2,3,Goalkeeper,Southampton
423,Bella-Kotchap,17,2,45,0.1,1,1,Defender,Southampton
424,Caballero,17,1,40,1.2,0,0,Goalkeeper,Southampton
512,Aribo,17,3,55,0.6,6,8,Midfielder,Southampton
528,Mara,17,4,55,0.1,4,4,Forward,Southampton
425,Lloris,18,1,55,4.5,0,2,Goalkeeper,Spurs
426,Forster,18,1,40,6.0,0,0,Goalkeeper,Spurs
427,Kane,18,4,114,17.5,0,2,Forward,Spurs
428,Son,18,3,120,21.1,0,5,Midfielder,Spurs
429,Doherty,18,2,49,0.7,0,1,Defender,Spurs
430,Dier,18,2,50,4.4,0,8,Defender,Spurs
431,Lucas Moura,18,3,60,0.4,0,1,Midfielder,Spurs
432,Davies,18,2,50,0.8,0,2,Defender,Spurs
433,Højbjerg,18,3,55,0.9,0,2,Midfielder,Spurs
434,Winks,18,3,45,2.2,0,0,Midfielder,Spurs
435,Sánchez,18,2,45,0.7,0,0,Defender,Spurs
436,R.Sessegnon,18,2,45,1.9,0,7,Defender,Spurs
437,Bergwijn,18,3,55,0.0,0,0,Midfielder,Spurs
438,Reguilón,18,2,44,1.9,0,0,Defender,Spurs
439,Tanganga,18,2,40,3.8,0,0,Defender,Spurs
440,Bentancur,18,3,55,0.4,0,1,Midfielder,Spurs
441,Skipp,18,3,45,0.1,0,0,Midfielder,Spurs
442,Rodon,18,2,40,0.1,0,0,Defender,Spurs
443,Romero,18,2,50,2.6,0,2,Defender,Spurs
444,Bissouma,18,3,50,0.6,0,0,Midfielder,Spurs
445,Emerson Royal,18,2,50,2.3,0,9,Defender,Spurs
446,Kulusevski,18,3,81,12.3,0,13,Midfielder,Spurs
447,Scarlett,18,4,45,0.1,0,0,Forward,Spurs
448,Perišić,18,2,55,19.3,0,1,Defender,Spurs
449,White,18,3,45,0.4,0,0,Midfielder,Spurs
450,Sarr,18,3,45,0.6,0,0,Midfielder,Spurs
451,Austin,18,1,40,0.4,0,0,Goalkeeper,Spurs
452,Devine,18,3,45,0.1,0,0,Midfielder,Spurs
453,Parrott,18,4,45,0.2,0,0,Forward,Spurs
454,Richarlison,18,4,85,0.5,0,0,Forward,Spurs
513,Lenglet,18,2,50,0.4,0,1,Defender,Spurs
522,Spence,18,2,45,0.6,0,0,Defender,Spurs
554,Bryan,18,3,50,0.0,0,0,Midfielder,Spurs
455,Fabianski,19,1,50,1.1,0,1,Goalkeeper,West Ham
456,Ogbonna,19,2,45,0.1,0,0,Defender,West Ham
457,Cresswell,19,2,50,3.6,0,1,Defender,West Ham
458,Antonio,19,4,75,4.1,0,1,Forward,West Ham
459,Dawson,19,2,50,0.4,0,0,Defender,West Ham
460,Lanzini,19,3,55,0.3,0,1,Midfielder,West Ham
461,Zouma,19,2,45,1.6,0,1,Defender,West Ham
462,Masuaku,19,2,45,0.0,0,0,Defender,West Ham
463,Coufal,19,2,45,1.2,0,1,Defender,West Ham
464,Benrahma,19,3,60,2.0,0,1,Midfielder,West Ham
465,Bowen,19,3,85,6.5,0,2,Midfielder,West Ham
466,Vlasic,19,3,50,0.0,0,0,Midfielder,West Ham
467,Rice,19,3,50,6.4,0,2,Midfielder,West Ham
468,Soucek,19,3,55,1.8,0,2,Midfielder,West Ham
469,Fornals,19,3,55,1.5,0,2,Midfielder,West Ham
471,Johnson,19,2,45,0.1,0,1,Defender,West Ham
472,Aguerd,19,2,50,0.1,0,0,Defender,West Ham
473,Areola,19,1,45,1.6,0,1,Goalkeeper,West Ham
509,Downes,19,3,45,0.4,0,1,Midfielder,West Ham
529,Scamacca,19,4,70,1.1,0,1,Forward,West Ham
555,Ashby,19,2,40,0.3,0,0,Defender,West Ham
556,Coventry,19,3,45,0.1,0,1,Midfielder,West Ham
571,Randolph,19,1,40,0.1,0,0,Goalkeeper,West Ham
572,Oko-Flex,19,3,45,0.0,0,0,Midfielder,West Ham
575,Cornet,19,3,60,0.1,0,0,Midfielder,West Ham
474,Boly,20,2,45,0.3,0,0,Defender,Wolves
476,Jiménez,20,4,70,0.2,0,0,Forward,Wolves
477,Jonny,20,2,45,0.6,6,7,Defender,Wolves
478,Sá,20,1,50,3.6,7,9,Goalkeeper,Wolves
479,Dendoncker,20,3,50,0.2,3,5,Midfielder,Wolves
480,Neves,20,3,55,1.9,2,6,Midfielder,Wolves
481,Hwang,20,3,60,0.6,1,6,Midfielder,Wolves
482,Semedo,20,2,50,0.0,1,1,Defender,Wolves
483,Podence,20,3,55,2.1,2,12,Midfielder,Wolves
484,Kilman,20,2,45,0.8,6,7,Defender,Wolves
485,Cundle,20,3,45,0.4,0,0,Midfielder,Wolves
486,Neto,20,3,55,16.1,3,5,Midfielder,Wolves
487,Aït-Nouri,20,2,45,1.8,6,5,Defender,Wolves
488,Fabio Silva,20,4,55,0.0,0,0,Forward,Wolves
489,Toti,20,2,40,0.9,0,0,Defender,Wolves
490,Chiquinho,20,3,50,0.0,0,0,Midfielder,Wolves
491,Adama,20,3,55,0.1,1,1,Midfielder,Wolves
492,Šarkić,20,1,40,2.3,0,0,Goalkeeper,Wolves
493,Gibbs-White,20,3,55,0.2,2,4,Midfielder,Wolves
494,Mosquera,20,2,40,0.9,0,0,Defender,Wolves
503,Moutinho,20,3,50,1.2,0,0,Midfielder,Wolves
516,Collins,20,2,45,0.3,6,7,Defender,Wolves
557,Smith,20,1,40,0.7,0,0,Goalkeeper,Wolves
558,Bueno,20,2,40,0.7,0,0,Defender,Wolves
566,Hodge,20,3,45,0.0,0,0,Midfielder,Wolves
567,Ronan,20,3,45,0.1,0,0,Midfielder,Wolves
568,Campbell,20,3,45,0.2,0,1,Midfielder,Wolves
579,Guedes,20,3,60,0.1,1,1,Midfielder,Wolves
